site,window_start,Ion,Concentration
BQ2,1991-03-19,no3_ugl,77.44444444444443
BQ2,1991-03-19,nh4_ugl,NA
BQ2,1991-03-19,k_mgl,0.8922222222222222
BQ2,1991-03-19,mg_mgl,2.92
BQ2,1991-03-19,ca_mgl,5.662222222222222
BQ2,1991-05-21,no3_ugl,85.125
BQ2,1991-05-21,nh4_ugl,NA
BQ2,1991-05-21,k_mgl,1.078
BQ2,1991-05-21,mg_mgl,3.005
BQ2,1991-05-21,ca_mgl,3.7439999999999998
BQ2,1991-07-23,no3_ugl,60.2
BQ2,1991-07-23,nh4_ugl,NA
BQ2,1991-07-23,k_mgl,1.271
BQ2,1991-07-23,mg_mgl,3.157
BQ2,1991-07-23,ca_mgl,6.536
BQ2,1991-09-24,no3_ugl,170.83333333333331
BQ2,1991-09-24,nh4_ugl,NA
BQ2,1991-09-24,k_mgl,1.2816666666666667
BQ2,1991-09-24,mg_mgl,2.6133333333333333
BQ2,1991-09-24,ca_mgl,4.645833333333333
BQ2,1991-11-26,no3_ugl,296.1111111111111
BQ2,1991-11-26,nh4_ugl,NA
BQ2,1991-11-26,k_mgl,1.198888888888889
BQ2,1991-11-26,mg_mgl,3.051111111111111
BQ2,1991-11-26,ca_mgl,5.783333333333333
BQ2,1992-01-28,no3_ugl,191.11111111111111
BQ2,1992-01-28,nh4_ugl,NA
BQ2,1992-01-28,k_mgl,1.284
BQ2,1992-01-28,mg_mgl,2.969
BQ2,1992-01-28,ca_mgl,6.08
BQ2,1992-03-31,no3_ugl,135.125
BQ2,1992-03-31,nh4_ugl,NA
BQ2,1992-03-31,k_mgl,1.1555555555555557
BQ2,1992-03-31,mg_mgl,2.8533333333333335
BQ2,1992-03-31,ca_mgl,5.455555555555556
BQ2,1992-06-02,no3_ugl,58
BQ2,1992-06-02,nh4_ugl,NA
BQ2,1992-06-02,k_mgl,1.26
BQ2,1992-06-02,mg_mgl,2.9877777777777776
BQ2,1992-06-02,ca_mgl,6.188888888888889
BQ2,1992-08-04,no3_ugl,79.66666666666667
BQ2,1992-08-04,nh4_ugl,NA
BQ2,1992-08-04,k_mgl,1.2733333333333332
BQ2,1992-08-04,mg_mgl,3.04
BQ2,1992-08-04,ca_mgl,6.444444444444445
BQ2,1992-10-06,no3_ugl,47.75
BQ2,1992-10-06,nh4_ugl,NA
BQ2,1992-10-06,k_mgl,1.1822222222222223
BQ2,1992-10-06,mg_mgl,2.738888888888889
BQ2,1992-10-06,ca_mgl,5.905555555555556
BQ2,1992-12-08,no3_ugl,172
BQ2,1992-12-08,nh4_ugl,NA
BQ2,1992-12-08,k_mgl,1.2344444444444445
BQ2,1992-12-08,mg_mgl,3.0322222222222224
BQ2,1992-12-08,ca_mgl,6.345555555555555
BQ2,1993-02-09,no3_ugl,145.5
BQ2,1993-02-09,nh4_ugl,NA
BQ2,1993-02-09,k_mgl,1.38
BQ2,1993-02-09,mg_mgl,3.3477777777777775
BQ2,1993-02-09,ca_mgl,6.855555555555555
BQ2,1993-04-13,no3_ugl,89.75
BQ2,1993-04-13,nh4_ugl,NA
BQ2,1993-04-13,k_mgl,1.3155555555555556
BQ2,1993-04-13,mg_mgl,2.8722222222222222
BQ2,1993-04-13,ca_mgl,5.665555555555556
BQ2,1993-06-15,no3_ugl,95.4
BQ2,1993-06-15,nh4_ugl,NA
BQ2,1993-06-15,k_mgl,1.49
BQ2,1993-06-15,mg_mgl,3.163333333333333
BQ2,1993-06-15,ca_mgl,7.022222222222222
BQ2,1993-08-17,no3_ugl,61.625
BQ2,1993-08-17,nh4_ugl,NA
BQ2,1993-08-17,k_mgl,1.2966666666666666
BQ2,1993-08-17,mg_mgl,2.8777777777777778
BQ2,1993-08-17,ca_mgl,6.525555555555555
BQ2,1993-10-19,no3_ugl,41.22222222222222
BQ2,1993-10-19,nh4_ugl,NA
BQ2,1993-10-19,k_mgl,1.3855555555555557
BQ2,1993-10-19,mg_mgl,2.966666666666667
BQ2,1993-10-19,ca_mgl,6.611111111111112
BQ2,1993-12-21,no3_ugl,12.5
BQ2,1993-12-21,nh4_ugl,NA
BQ2,1993-12-21,k_mgl,1.3711111111111112
BQ2,1993-12-21,mg_mgl,2.694444444444444
BQ2,1993-12-21,ca_mgl,5.996666666666667
BQ2,1994-02-22,no3_ugl,37.5
BQ2,1994-02-22,nh4_ugl,NA
BQ2,1994-02-22,k_mgl,1.3444444444444446
BQ2,1994-02-22,mg_mgl,2.9522222222222223
BQ2,1994-02-22,ca_mgl,6.587777777777778
BQ2,1994-04-26,no3_ugl,22.25
BQ2,1994-04-26,nh4_ugl,NA
BQ2,1994-04-26,k_mgl,1.3925
BQ2,1994-04-26,mg_mgl,3.24125
BQ2,1994-04-26,ca_mgl,6.95875
BQ2,1994-06-28,no3_ugl,145.5
BQ2,1994-06-28,nh4_ugl,NA
BQ2,1994-06-28,k_mgl,1.1633333333333333
BQ2,1994-06-28,mg_mgl,2.4833333333333334
BQ2,1994-06-28,ca_mgl,5.0649999999999995
BQ2,1994-08-30,no3_ugl,NA
BQ2,1994-08-30,nh4_ugl,NA
BQ2,1994-08-30,k_mgl,1.32
BQ2,1994-08-30,mg_mgl,1.975
BQ2,1994-08-30,ca_mgl,4.325
BQ2,1994-11-01,no3_ugl,NA
BQ2,1994-11-01,nh4_ugl,NA
BQ2,1994-11-01,k_mgl,1.25375
BQ2,1994-11-01,mg_mgl,2.48875
BQ2,1994-11-01,ca_mgl,5.3075
BQ3,1986-05-20,no3_ugl,119.66666666666667
BQ3,1986-05-20,nh4_ugl,NA
BQ3,1986-05-20,k_mgl,0.7033333333333333
BQ3,1986-05-20,mg_mgl,3.4333333333333336
BQ3,1986-05-20,ca_mgl,3.9533333333333336
BQ3,1986-07-22,no3_ugl,NA
BQ3,1986-07-22,nh4_ugl,NA
BQ3,1986-07-22,k_mgl,NA
BQ3,1986-07-22,mg_mgl,NA
BQ3,1986-07-22,ca_mgl,NA
BQ3,1986-09-23,no3_ugl,161.5
BQ3,1986-09-23,nh4_ugl,24.6
BQ3,1986-09-23,k_mgl,0.566
BQ3,1986-09-23,mg_mgl,2.606
BQ3,1986-09-23,ca_mgl,3.606
BQ3,1986-11-25,no3_ugl,197.88888888888889
BQ3,1986-11-25,nh4_ugl,17
BQ3,1986-11-25,k_mgl,0.56
BQ3,1986-11-25,mg_mgl,2.738888888888889
BQ3,1986-11-25,ca_mgl,3.462222222222222
BQ3,1987-01-27,no3_ugl,193.77777777777777
BQ3,1987-01-27,nh4_ugl,14.571428571428571
BQ3,1987-01-27,k_mgl,0.6222222222222222
BQ3,1987-01-27,mg_mgl,3.0477777777777777
BQ3,1987-01-27,ca_mgl,3.7266666666666666
BQ3,1987-03-31,no3_ugl,182.11111111111111
BQ3,1987-03-31,nh4_ugl,46
BQ3,1987-03-31,k_mgl,0.6922222222222222
BQ3,1987-03-31,mg_mgl,2.4544444444444444
BQ3,1987-03-31,ca_mgl,3.428888888888889
BQ3,1987-06-02,no3_ugl,175.22222222222223
BQ3,1987-06-02,nh4_ugl,80.88888888888889
BQ3,1987-06-02,k_mgl,0.6666666666666666
BQ3,1987-06-02,mg_mgl,2.4044444444444446
BQ3,1987-06-02,ca_mgl,3.621111111111111
BQ3,1987-08-04,no3_ugl,240.375
BQ3,1987-08-04,nh4_ugl,19.75
BQ3,1987-08-04,k_mgl,0.7055555555555555
BQ3,1987-08-04,mg_mgl,2.948888888888889
BQ3,1987-08-04,ca_mgl,3.9033333333333333
BQ3,1987-10-06,no3_ugl,209.7
BQ3,1987-10-06,nh4_ugl,11.714285714285714
BQ3,1987-10-06,k_mgl,0.577
BQ3,1987-10-06,mg_mgl,2.106
BQ3,1987-10-06,ca_mgl,3.079
BQ3,1987-12-08,no3_ugl,162.5
BQ3,1987-12-08,nh4_ugl,30.823529411764703
BQ3,1987-12-08,k_mgl,0.7106666666666667
BQ3,1987-12-08,mg_mgl,2.306
BQ3,1987-12-08,ca_mgl,3.248
BQ3,1988-02-09,no3_ugl,194.77777777777777
BQ3,1988-02-09,nh4_ugl,22.444444444444443
BQ3,1988-02-09,k_mgl,0.5833333333333334
BQ3,1988-02-09,mg_mgl,2.7488888888888887
BQ3,1988-02-09,ca_mgl,3.462222222222222
